,year,caseID,gender,socialClassSelf,interestElections,wealthPrcnt,partyID,yrsEdu,voteHouseParty,approveOfConservatives,approveOfLiberals,approveOfBusiness,approveOfUnions,approveOfCongress,approveOfMiddleClass,approveOfIllegalAliens,votedForCong,isRepublican,isDemocrat
54452,2012,5640,F,5,2,75,-3,16,0,40,70,15,50,40,85,15,1,0,1
54453,2012,5641,F,5,1,50,3,14,1,97,15,60,40,30,70,30,1,1,0
54454,2012,5642,F,,,8,0,14,,,,,,,,50,0,0,0
54455,2012,5643,F,4,1,75,2,14,,85,60,50,40,40,85,30,0,1,0
54456,2012,5644,M,5,1,75,-1,16,0,20,90,15,80,53,50,50,1,0,1
54457,2012,5645,M,2,2,50,0,14,,50,50,45,54,50,50,2,0,0,0
54458,2012,5646,F,6,1,8,3,16,1,70,15,70,30,60,85,80,1,1,0
54459,2012,5647,M,5,1,50,2,12,1,85,0,40,60,70,85,30,1,1,0
54460,2012,5648,F,4,2,8,-1,12,,50,0,50,50,50,50,25,0,0,1
54461,2012,5649,F,2,2,75,-1,12,,50,70,60,60,40,70,40,0,0,1
54462,2012,5650,M,2,1,50,-2,16,0,45,40,50,65,45,60,50,1,0,1
54463,2012,5651,F,6,2,75,0,14,,50,,75,50,50,90,50,0,0,0
54464,2012,5652,F,5,2,50,0,14,0,15,50,10,50,15,50,0,1,0,0
54465,2012,5653,F,2,1,8,2,12,1,85,15,85,85,85,70,97,1,1,0
54466,2012,5654,M,4,2,75,3,12,1,80,30,70,30,40,70,40,1,1,0
54467,2012,5655,F,4,1,28,-2,12,1,0,50,0,85,50,85,15,1,0,1
54468,2012,5656,F,5,1,75,2,16,1,85,60,60,30,40,70,40,1,1,0
54469,2012,5657,M,5,2,50,3,14,,,,,,,,,0,1,0
54470,2012,5658,F,1,2,50,-3,14,0,50,50,40,85,60,60,50,1,0,1
54471,2012,5659,F,2,2,28,-2,16,,15,55,40,50,50,70,40,0,0,1
54472,2012,5660,M,5,2,98,2,16,1,50,0,97,0,0,70,0,1,1,0
54473,2012,5661,F,5,2,75,-2,12,0,50,50,50,50,50,50,0,1,0,1
54474,2012,5662,M,2,2,50,0,12,,55,10,60,0,15,50,30,0,0,0
54475,2012,5663,F,5,2,50,3,14,1,70,40,70,40,60,85,40,1,1,0
54476,2012,5664,M,2,2,8,-1,14,0,0,85,50,85,0,97,50,1,0,1
54477,2012,5665,M,5,2,75,3,12,1,85,0,80,0,25,90,0,1,1,0
54478,2012,5666,F,2,1,28,0,12,,50,50,15,60,40,70,30,0,0,0
54479,2012,5667,M,2,2,50,0,16,,60,50,15,30,30,40,70,0,0,0
54480,2012,5668,M,5,1,75,-3,12,0,35,55,41,75,40,97,65,1,0,1
54481,2012,5669,M,2,2,50,-2,12,0,50,50,30,30,30,70,30,1,0,1
54482,2012,5670,M,1,2,28,0,12,,50,50,60,50,50,50,50,0,0,0
54483,2012,5671,F,2,2,50,3,12,1,97,0,85,0,50,97,0,1,1,0
