,districtFull,medianIncome,meanIncome,over75,over200,l150h200,under50,under40,under25,prcntCollege,prcntWhite,prcntBlack,prcntAsian,prcntLat,industry,rural,urbanLoose,urbanStrict,urbanAll,district,state,distNum,handle,party,policy,homestyle,other,prcntHome,prcntPolicy,prcntHomeOther
283,"Congressional District 5 (113th Congress), Arizona",62203,78743,41.3,4.5,5.7,39.7,25.6,16.6,32.4,87.2,4,5.1,17.9,0.6,0.002336872,0.997663128,0,0.997663128,AZ-05,AZ,5,salmoncongress,R,268,356,3,0.567783094,0.427432217,0.570512821
284,"Congressional District 5 (113th Congress), California",62075,81331,40.8,5.8,6.2,40.7,27.6,18.8,29.1,73.7,8,12.8,26.4,3.1,0.099894537,0.798435632,0.101669831,0.900105463,CA-05,CA,5,repthompson,D,338,213,1,0.385869565,0.612318841,0.386569873
285,"Congressional District 5 (113th Congress), Colorado",54220,71244,34.8,3.6,4.8,45.7,31.5,21.4,33.4,87,7.5,4.2,14.7,1.2,0.169756533,0.754473847,0.07576962,0.830243467,CO-05,CO,5,repdlamborn,R,660,298,1,0.310740355,0.688216893,0.311064718
286,"Congressional District 5 (113th Congress), Connecticut",64257,88160,43.6,7.5,7.2,39.7,27.9,19.5,34,82,8.1,3.5,16.1,0.6,0.153321756,0.80680788,0.039870364,0.846678244,CT-05,CT,5,repesty,D,418,320,4,0.431266846,0.563342318,0.433604336
287,"Congressional District 5 (113th Congress), Florida",33175,44670,16.2,0.9,1.4,68,52.5,38.4,15.4,41.3,53.9,3,11.9,0.7,0.090128657,0.888191091,0.021680252,0.909871343,FL-05,FL,5,repcorrinebrown,D,534,293,0,0.354292624,0.645707376,0.354292624
288,"Congressional District 5 (113th Congress), Georgia",41746,65779,27.2,5.1,3.8,56.3,43.7,32.4,37.7,34,60.1,4.5,8,0.2,0.000302028,0.999697972,0,0.999697972,GA-05,GA,5,repjohnlewis,D,523,391,7,0.424538545,0.567861021,0.427789934
289,"Congressional District 5 (113th Congress), Illinois",65916,95131,44.4,9.6,7.1,39,27.4,19.5,49.6,83.2,3.2,7.5,19.1,0.2,0,1,0,1,IL-05,IL,5,repmikequigley,D,1547,1653,9,0.515113743,0.482081645,0.5165625
290,"Congressional District 5 (113th Congress), Kentucky",30030,43081,15.6,1.1,1.1,69.7,55.9,43.2,11.5,97.7,1.7,0.5,1,7.2,0.766871128,0.001690622,0.23143825,0.233128872,KY-05,KY,5,rephalrogers,R,780,324,5,0.292155095,0.703336339,0.293478261
291,"Congressional District 5 (113th Congress), Maryland",89342,104686,59.4,9.2,11.7,24.9,15.5,10.6,32.5,56.1,39.3,4.7,6.6,0.4,0.233753255,0.679155351,0.087091393,0.766246745,MD-05,MD,5,whiphoyer,D,2259,971,7,0.299969107,0.697868397,0.300619195
292,"Congressional District 5 (113th Congress), Massachusetts",79004,106726,52.1,11.6,9,32.9,23.2,16.3,52,82.5,6.4,10.8,7.9,0.2,0.009644834,0.990355166,0,0.990355166,MA-05,MA,5,markeymemo,D,2324,842,15,0.264696636,0.730587865,0.265950726
293,"Congressional District 5 (113th Congress), Michigan",40365,52297,21.8,1.2,2.1,59.8,43.9,31,17.9,80.2,19.1,1.1,4.5,0.9,0.227655808,0.742555978,0.029788214,0.772344192,MI-05,MI,5,dankildee,D,252,195,6,0.430463576,0.556291391,0.436241611
